Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2014","2014","I$","1795.7","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2015","2015","I$","1766.6","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2016","2016","I$","1757","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2017","2017","I$","1758.5","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","1734.7","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2014","2014","I$","12388.3","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2015","2015","I$","12356.4","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2016","2016","I$","12245.6","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2017","2017","I$","12233.4","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","12143.5","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2014","2014","I$","10700.5","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2015","2015","I$","10971","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2016","2016","I$","11356.7","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2017","2017","I$","11803.3","X","Sources internationales sûres",""
