Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2009","2009","g/personne/jour","11.68","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2010","2010","g/personne/jour","12.11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2011","2011","g/personne/jour","12.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2012","2012","g/personne/jour","12.26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","12.22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2009","2009","g/personne/jour","32.67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2010","2010","g/personne/jour","33.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2011","2011","g/personne/jour","34.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2012","2012","g/personne/jour","35.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","36.38","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2009","2009","g/personne/jour","54.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2010","2010","g/personne/jour","56.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2011","2011","g/personne/jour","56.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2012","2012","g/personne/jour","59.21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","59.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2009","2009","g/personne/jour","22.78","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2010","2010","g/personne/jour","22.54","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2011","2011","g/personne/jour","25.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2012","2012","g/personne/jour","25.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","24.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2009","2009","g/personne/jour","62.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2010","2010","g/personne/jour","61.84","Fc","Donnée calculée"
