"","clust"
"Albanie","Europe de l'Est"
"Allemagne","Europe de l'Ouest"
"Autriche","Europe du Nord"
"Bélarus","Europe de l'Est"
"Belgique","Europe centrale"
"Bermudes","Amériques"
"Canada","Amériques"
"Danemark","Europe du Nord"
"Espagne","Europe centrale"
"Estonie","Europe centrale"
"États-Unis d'Amérique","Amériques"
"Fédération de Russie","Europe de l'Est"
"Finlande","Europe du Nord"
"Grèce","Europe de l'Est"
"Hongrie","Europe centrale"
"Irlande","Europe du Nord"
"Islande","Europe du Nord"
"Israël","Europe de l'Est"
"Italie","Europe centrale"
"Kazakhstan","Europe de l'Est"
"Lettonie","Europe centrale"
"Lituanie","Europe centrale"
"Luxembourg","Europe du Nord"
"Malte","Europe du Nord"
"Norvège","Europe du Nord"
"Pays-Bas","Europe de l'Ouest"
"Pologne","Europe centrale"
"Portugal","Europe centrale"
"Roumanie","Europe de l'Est"
"Royaume-Uni","Europe de l'Ouest"
"Slovénie","Europe centrale"
"Suède","Europe du Nord"
"Suisse","Europe du Nord"
"Tchéquie (la)","Europe centrale"
